"Product ID","Product Name",Category,Sub-Category,Description
10522,"Samsung Smart Phone",Technology,Phones,Cordless
10549,"Apple Audio Dock",Technology,Phones,"with Caller ID"
10648,"Okidata Inkjet",Technology,Machines,Wireless
11645,"Hoover Stove","Office Supplies",Appliances,Red
12035,"Ikea Classic Bookcase",Furniture,Bookcases,Mobile
12069,"Hoover Stove","Office Supplies",Appliances,Red
12161,"Nokia Smart Phone",Technology,Phones,"Full Size"
13524,"Motorola Smart Phone",Technology,Phones,"Cordless Smart Phone"
13528,"KitchenAid Refrigerator","Office Supplies",Appliances,Black
13779,"Breville Refrigerator","Office Supplies",Appliances,Red
13847,"Office Star Executive Leather Armchair",Furniture,Chairs,Adjustable
13879,"Hon Executive Leather Armchair",Furniture,Chairs,Adjustable
15380,"Brother Fax Machine",Technology,Copiers,Laser
1570,"Motorola Smart Phone",Technology,Phones,"Full Size"
15896,"Panasonic Printer",Technology,Machines,Red
15953,"Cuisinart Stove","Office Supplies",Appliances,Silver
16653,"Safco Classic Bookcase",Furniture,Bookcases,Metal
16681,"Motorola Smart Phone",Technology,Phones,Cordless
16988,"Brother Ink",Technology,Copiers,Color
18241,"Motorola Smart Phone",Technology,Phones,"Full Size"
19195,"Hamilton Beach Stove","Office Supplies",Appliances,White
21191,"Harbour Creations Executive Leather Armchair",Furniture,Chairs,Adjustable
21209,"Bevis Conference Table",Furniture,Tables,"with Bottom Storage"
21286,"Breville Stove","Office Supplies",Appliances,Red
21316,"Motorola Smart Phone",Technology,Phones,"Full Size"
21586,"SAFCO Executive Leather Armchair",Furniture,Chairs,Black
220,"Samsung Smart Phone",Technology,Phones,VoIP
22096,"Brother Fax Machine",Technology,Copiers,High-Speed
22732,"Samsung Smart Phone",Technology,Phones,"with Caller ID"
22999,"Office Star Executive Leather Armchair",Furniture,Chairs,Red
23013,"Hamilton Beach Refrigerator","Office Supplies",Appliances,Black
23499,"Breville Refrigerator","Office Supplies",Appliances,White
24341,"Novimex Executive Leather Armchair",Furniture,Chairs,Red
24443,"Sharp Wireless Fax",Technology,Copiers,Digital
25026,"Brother Wireless Fax",Technology,Copiers,Laser
25314,"SAFCO Executive Leather Armchair",Furniture,Chairs,Black
25330,"Nokia Smart Phone",Technology,Phones,"Smart Phone with Caller ID"
25438,"Apple Smart Phone",Technology,Phones,Cordless
25795,"Sauder Classic Bookcase",Furniture,Bookcases,Traditional
26341,"Novimex Executive Leather Armchair",Furniture,Chairs,"Leather Armchair"
26634,"Safco Classic Bookcase",Furniture,Bookcases,Metal
26669,"Canon Copy Machine",Technology,Copiers,Color
26731,"Office Star Executive Leather Armchair",Furniture,Chairs,Red
27704,"KitchenAid Microwave","Office Supplies",Appliances,White
27962,"Ikea Classic Bookcase",Furniture,Bookcases,Mobile
28046,"Nokia Smart Phone",Technology,Phones,"with Caller ID"
28701,"Konica Inkjet",Technology,Machines,White
28879,"Bevis Conference Table",Furniture,Tables,"Fully Assembled"
28932,"Chromcraft Wood Table",Furniture,Tables,Rectangular
29047,"Hewlett Wireless Fax",Technology,Copiers,Color
29149,"SAFCO Executive Leather Armchair",Furniture,Chairs,Black
29272,"Motorola Smart Phone",Technology,Phones,"with Caller ID"
29600,"Nokia Smart Phone",Technology,Phones,"with Caller ID"
29601,"Chromcraft Conference Table",Furniture,Tables,"with Bottom Storage"
30190,"Safco Classic Bookcase",Furniture,Bookcases,Pine
30191,"Lesro Conference Table",Furniture,Tables,"with Bottom Storage"
30199,"Novimex Executive Leather Armchair",Furniture,Chairs,Red
30570,"Novimex Executive Leather Armchair",Furniture,Chairs,Adjustable
31192,"Chromcraft Conference Table",Furniture,Tables,"Fully Assembled"
31278,"Bevis Conference Table",Furniture,Tables,"with Bottom Storage"
31784,"Apple iPhone 5S",Technology,Phones,
31806,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies",Binders,
31980,"Cubify CubeX 3D Printer Triple Head Print",Technology,Machines,
32298,"Plantronics CS510 - Over-the-Head monaural Wireless Headset System",Technology,Accessories,"Wireless Headset System"
32543,"Bretford Rectangular Conference Table Tops",Furniture,Tables,
32735,"HON 5400 Series Task Chairs for Big and Tall",Furniture,Chairs,
32941,"Canon PC940 Copier",Technology,Copiers,
34577,"Martin Yale Chadless Opener Electric Letter Opener","Office Supplies",Supplies,
3484,"Hon Computer Table",Furniture,Tables,"Fully Assembled"
35395,"Ibico EPK-21 Electric Binding System","Office Supplies",Binders,
35594,"Samsung Galaxy Mega 6.3",Technology,Phones,
36178,"Logitech diNovo Edge Keyboard",Technology,Accessories,
36423,"Ativa V4110MDD Micro-Cut Shredder",Technology,Machines,
37311,"Apple iPhone 5",Technology,Phones,
37817,"GBC DocuBind P400 Electric Binding System","Office Supplies",Binders,
38198,"Hewlett Packard LaserJet 3310 Copier",Technology,Copiers,
38411,"Global Adaptabilities Conference Tables",Furniture,Tables,
38540,"HON 5400 Series Task Chairs for Big and Tall",Furniture,Chairs,
39501,"Zebra ZM400 Thermal Label Printer",Technology,Machines,
39977,"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room","Office Supplies",Appliances,
40046,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies",Binders,
40155,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies",Binders,
40936,"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",Furniture,Tables,
4132,"Harbour Creations Executive Leather Armchair",Furniture,Chairs,Adjustable
42336,"Motorola Smart Phone",Technology,Phones,"with Caller ID"
45616,"Hoover Stove","Office Supplies",Appliances,White
45794,"Cisco Smart Phone",Technology,Phones,"with Caller ID"
46366,"Motorola Smart Phone",Technology,Phones,"Full Size"
46630,"Hon Computer Table",Furniture,Tables,"with Bottom Storage"
47221,"Sharp Wireless Fax",Technology,Copiers,High-Speed
47905,"Apple Smart Phone",Technology,Phones,"Full Size"
48360,"Canon Copy Machine",Technology,Copiers,Color
49085,"Harbour Creations Executive Leather Armchair",Furniture,Chairs,Adjustable
49463,"KitchenAid Stove","Office Supplies",Appliances,White
4960,"Hamilton Beach Microwave","Office Supplies",Appliances,Black
50411,"Chromcraft Round Table",Furniture,Tables,Rectangular
50788,"Canon Wireless Fax",Technology,Copiers,Laser
6550,"Harbour Creations Executive Leather Armchair",Furniture,Chairs,Black
8029,"Samsung Smart Phone",Technology,Phones,Cordless
FUR-CH-10003950,"Novimex Executive Leather Armchair",Furniture,Chairs,"Executive leather armchair"
FUR-CH-10004050,"Novimex Executive Leather Armchair",Furniture,Chairs,Adjustable
FUR-TA-10002958,"Chromcraft Conference Table",Furniture,Tables,"Fully Assembled"
OFF-BI-10003527,"Fellowes PB500 Electric Punch","Office Supplies",Binders,"Manual Bind"
TEC-AC-10003033,"Plantronics CS510 - Over-the-Head monaural Wireless Headset System",Technology,Accessories,"Wireless headset for calls"
TEC-PH-10000030,"Samsung Smart Phone",Technology,Phones,"with Caller ID"
TEC-PH-10004583,"Motorola Smart Phone",Technology,Phones,Cordless
TEC-PH-10004664,"Nokia Smart Phone with Caller ID",Technology,Phones,"Smartphone with caller ID feature"
TEC-SHA-10000501,"Sharp Wireless Fax",Technology,Copiers,High-Speed
